uri,dcterms:identifier,ID,description:架番号,rdfs:label,description:推定した国郡名等,schema:description,schema:longitude,schema:latitude,schema:geo^^uri,xywh,schema:url,canvas,schema:relatedLink,schema:isPartOf^^uri
http://example.org/data/仁-108_野方,仁-108_野方,,仁-108,野方,伯耆国河村郡,野方村のことか。現鳥取県東伯郡湯梨浜町野方。方地村の南西、舎人川と白石川の合流点南に位置し、山麓台地に集落が開ける。,133.918846,35.477887,,"1556,1661,156,100",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=1556,1661,156,100",http://example.org/data/仁-108
http://example.org/data/仁-108_笏賀,仁-108_笏賀,,仁-108,笏賀,伯耆国河村郡,伯耆国の最東端、日本海に突出する甲亀山両側の地域と、その背後の丘陵・山地を占めたと推定される摂関家領庄園。東郷庄の東に接していた。,133.923633,35.502053,,"1175,2769,197,114",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=1175,2769,197,114",http://example.org/data/仁-108
http://example.org/data/仁-108_西別所,仁-108_西別所,,仁-108,西別所,伯耆国河村郡,別所村。現鳥取県東伯郡湯梨浜町別所。東郷川左岸に位置し、対岸は方面村、北は中尾村。東郷川最上流の村で、羽衣石山地の山麓台地を占め、南方波関峠を越えると三朝谷に至る。,133.913228,35.452176,,"2283,1265,100,85",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=2283,1265,100,85",http://example.org/data/仁-108
http://example.org/data/仁-108_桂尾宮,仁-108_桂尾宮,,仁-108,桂尾宮,伯耆国河村郡,現東郷神社。八幡神を祀ったことから後に八幡宮と称し、さらに秀尾神社、東郷神社とし、東郷地域の十二社を合祀した。,133.899048,35.459666,,"2867,1628,58,137",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=2867,1628,58,137",http://example.org/data/仁-108
http://example.org/data/仁-108_一宮,仁-108_一宮,,仁-108,一宮,伯耆国河村郡,倭文神社。現鳥取県東伯郡湯梨浜町宮内。御冠山西麓、宮坂に鎮座。旧県社。平安時代後期には伯耆国一宮とされ、江戸時代も一宮大明神などと称された。,133.902966,35.490343,,"1799,2989,111,85",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=1799,2989,111,85",http://example.org/data/仁-108
http://example.org/data/仁-108_馬野,仁-108_馬野,,仁-108,馬野,伯耆国河村郡,東郷池北東の御冠山に続く小丘陵先端、橋津の東背後に馬ノ山があり、その丘陵一帯と考えられる。,133.882874,35.501475,,"2104,4164,112,151",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=2104,4164,112,151",http://example.org/data/仁-108
http://example.org/data/仁-108_宇野,仁-108_宇野,,仁-108,宇野,伯耆国河村郡,現鳥取県東伯郡湯梨浜町宇野。宇野村。宇谷村の西に位置し、伯耆街道が通る。北は日本海に面して狭小な砂浜があり、ほか三方は丘陵に囲まれる。,133.895852,35.506499,,"2126,5139,169,162",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=2126,5139,169,162",http://example.org/data/仁-108
http://example.org/data/仁-108_三朝,仁-108_三朝,,仁-108,三朝,伯耆国河村郡,古代の河村郡三朝郷の郷名を継ぐ中世の郷で、三徳川（三朝川）とその支流小鹿川の流域一帯に比定される。,133.912501,35.410328,,"3110,559,67,121",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=3110,559,67,121",http://example.org/data/仁-108
http://example.org/data/仁-108_長和田,仁-108_長和田,,仁-108,長和田,伯耆国河村郡,長和田村。現鳥取県東伯郡湯梨浜町長和田。野花村の西、東郷池の南岸に位置する。羽衣石川下流部の自然堤防上に立地し、倉吉往来が通る。長郷田とも記された。,133.880836,35.461763,,"3152,1335,64,118",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=3152,1335,64,118",http://example.org/data/仁-108
http://example.org/data/仁-108_松尾社,仁-108_松尾社,,仁-108,松尾社,伯耆国河村郡,現鳥取県東伯郡湯梨浜町野花。西ノ上に鎮座。旧村社。祭神別雷命・大山咋神など一一柱。,133.885702,35.462316,,"3381,1973,114,77",https://nakamura196.github.io/shoen/iiif/仁-108/manifest.json,https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1,"https://lab-hi.github.io/map/iiif/1/manifest.json/canvas/p1#xywh=3381,1973,114,77",http://example.org/data/仁-108
